,名稱,分類,上映日期,劇情介紹
72,天空鯊：納粹終極武器,科幻,2021-02-03,★繼《風飛鯊》後，鯊魚將再次偉大！★如同《風飛鯊》X《鋼鐵蒼穹》變種鯊魚加上希特勒讓你嚇破膽！★能飛天已經不再稀奇，還能隱形才叫恐怖！★2020倫敦恐怖電影節一支地質探勘隊偶然極地發現了納粹的廢棄實驗室，並發現在二戰末期，納粹竟然在這裡開發了一種超乎想像的極機密武器……探勘隊意外喚醒了凍結在冰層深處，一支由基因改造過的超級人類組成的飛行僵屍鯊魚大軍。這支不死軍團傾巢而出，毀滅任何阻擋在牠們面前的生物。面對來勢洶洶的天空鯊大軍，人類節節敗退，一支菁英部隊臨危受命試圖扭轉戰局……。
73,活屍殺戮,科幻,2021-01-22,★《殺千刀重出江湖》製作團隊全新打造末日動作片★《洛基４:天下無敵》瑞典硬漢男星杜夫朗格領軍殺敵★改編自2012年同名電玩遊戲★菁英部隊vs喪屍大隊，誰勝？誰負？神秘的病毒肆虐全球造成上億人口死變身為嗜血喪屍。束手無策的政府無力阻止病毒的擴散，於是開發了一款遊戲，而這款遊戲竟反映了這個被咒詛的真實世界上所發生的一切……
74,異種獵殺,科幻,2021-01-15,★《特務交鋒》製片打造史詩級科幻動作大片★《終極警探系列》布魯斯威利X《終極戰士：掠奪者》湯瑪斯傑恩攜手狂戰噬血外星異種！★外星異種奪命來襲，人類存亡危在旦夕！　　地球浩劫過後，經驗豐富的機械師克雷（布魯斯威利飾）搭乘乘載著數十萬名倖存者的星際方舟前往宇宙殖民地「新地球」，計劃在「新地球」上建立全新的生活；然而，隨著船員們在途中接連以詭異的方式死亡，方舟上的人們意外發現，一種噬血駭人的外星異種早已悄悄入侵方舟。克雷必須聯手方舟上將（湯瑪斯傑恩飾）率領倖存的人類，竭盡所能地防止異種將方舟內的所有生命屠殺殆盡……
75,末世戰疫：鳴鳥檔案,科幻,2021-01-08,★《變形金剛系列》億萬導演麥可貝監製★《噤界》《隱形人》製片團隊最新力作★肺炎疫情封城期間拍攝，好萊塢首部疫情題材驚悚電影★病毒致命突變，疫情全面失控！西元2024年，一種名為COVID-23的病毒肆虐全球，突變後的病毒致死率超過50％，全球邁入大封鎖第四年。美國政府為了控制疫情，強制將所有染疫的美國人送往名叫「Q區」的隔離營，以非人道的手段進行管理。在這絕望的世界，對病毒免疫的快遞員尼可（KJ阿帕飾）與女孩莎拉（索菲婭卡森飾）墜入了愛河，兩人卻因為居家隔離的緣故無法相見。但當莎拉意外接觸確診者即將被強制送往隔離營，尼可決定不惜一切代價，穿梭在杳無人煙的洛杉磯街頭只為了找出任何可以拯救莎拉的方法……
76,核磁末日,科幻,2020-12-31,★《魔戒三部曲》男星多米尼克莫納漢主演★弱肉強食的世界裡，誰能取得先機？★當電力消失，死亡將緊隨其後★真摯父女情，在黑暗末日只有家人值得依賴　　一個核能裝置引起強大的電磁脈衝波，造成超過2億人口失去電力只能在黑暗中生活。一位年僅十幾歲的年輕女孩，必須帶領著家人在這個嶄新的黑暗世界中求生存…
77,怵目驚魂28天,科幻,2020-12-11,開啟燒腦話題，全球推崇獨立經典，傑克葛倫霍影史最具代表性作品。資質聰穎的唐尼想法異於同儕，一直以來都被解讀為怪胎，被學校認為是問題學生，被家人認為精神狀態異常，因此之前闖下的禍而必須接受心理醫生諮詢。一天唐尼接受到奇幻人物的訊息，警告他世界末日即將在28天後到來。當天晚上，一架飛機的引擎掉落進東尼家的屋頂，唐尼因為奇幻人物的召喚逃過一劫。看似平靜的校園裡，人與人之間充滿不了解與衝突，隱藏著未知的危機。隨著倒數的時間逐漸接近，唐尼陸續做出毀滅性的脫軌行為。末日來臨前的最後一刻，唐尼突然驚覺，他是唯一可以扭轉世界命運的人。
78,外星異種,科幻,2020-11-27,★《異星智慧》特效團隊打造全新科幻驚悚鉅作★一場失控的太空任務，他並不是唯一的倖存者...★2020紐約翠貝卡電影節★2020富川國際奇幻電影節年輕醫生塔蒂亞娜因其具有爭議的醫療手段，即將失去醫師執照。此時，她卻被蘇聯軍隊緊急徵招，前往一個科學研究機構評估一名太空意外倖存者的身體情況。然而，塔蒂亞娜卻發現這名太空人體內竟潛伏著不屬於地球的可怕生物…
79,異星佔領,科幻,2020-11-13,★《瘋狂麥斯：憤怒道》《雷神索爾3：諸神黃昏》特效團隊震撼打造★毫無預兆，全面入侵！攸關人類存亡的最後一戰就此展開！★澳洲ASIN電影節最佳電影來自外太空的不明生物突然入侵地球，幾乎造成人類滅絕，這群逃過一劫的倖存者們必須團結一致，阻止外星生物進一步的侵略，拯救世界免於毀滅殆盡……
80,藥命時空,科幻,2020-11-06,★《永劫》雙人組導演驚悚科幻新作★「獵鷹」安東尼麥基聯手「格雷」傑米道南追查一連串神秘死亡事件★繼《天能》後，再度顛覆觀眾時間認知的燒腦之作★2019多倫多國際影展特別展映單元★2019德州奧斯汀奇幻影展★2019西班牙錫切斯奇幻影展★2020富川國際奇幻電影節紐澳良擔任第一線救護人員的史蒂夫（安東尼麥基飾）和丹尼斯（傑米道南飾）遇上一連串恐怖命案，這些死亡事件的線索通通指向案發現現場發現的一種神祕藥物，究竟這神祕藥物的背後隱藏著什麼駭人的真相？
81,老公不是人,科幻,2020-10-30,★腦洞大開！刷新三觀！有夠可笑！韓國科幻喜劇新品種全面降臨！★抓姦抓到外星人？《夫妻的世界》竟演變成夫妻的「弒」界！★科幻、懸疑、爆笑、驚悚、動作一應俱全！萬聖節強檔爆笑首選！★《特務情人IRIS》、《雅典娜》金牌韓劇監製爆笑打造！★史上最搞笑救世者聯盟！甜美嬌妻、兩光女星、犀利肉販竟成人類救星！★《屍速列車：感染半島》李貞賢這回不打活屍，轉身對抗外星人！★《鎖命危機》金聖午搞笑演出，變身史無前例外星生物「摧不毀」！★徐令姬×李美到×梁東根聯手演出，呈現超乎想像的喜劇表演！★新生代巨星「怪奇比莉」名曲〈BadGuy〉為電影強勢助陣！昭熙（李貞賢飾演）與溫柔、細心又完美的萬吉（金聖午飾演）結婚，讓好友們都羨慕不已。某天，昭熙不小心看到萬吉手機中的訊息，懷疑老公有了外遇。她請神祕研究所所長張醫生（梁東根飾演）暗中調查，卻在過程中意外發現老公的真實身份，竟是打算消滅人類、佔領地球的外星生物「摧不毀」，並擁有難以想像的不死之身。面對老公不是人，自己生命即將遭受威脅，昭熙轉而與高中同學莎拉（徐令姬飾演）及楊善（李美到飾演）聯手，打算先發制人殺掉萬吉。就在這對夫妻展開大亂鬥的同時，一群政府官員的加入，也讓這不寧靜的夜晚變得更加混亂…。【關於電影】有夠可笑！韓國科幻喜劇新品種全面降臨活屍、吸血鬼靠邊閃，外星生物入侵地球才夠看！超乎想像、腦洞大開的新形態科幻喜劇《老公不是人》，全片融合科幻、懸疑、爆笑、驚悚、動作等眾多元素，在顛覆常理的故事當中，呈現一對乍看婚姻幸福美滿的夫妻，老婆某天以為老公外遇，卻在抓姦過程當中，意外發現老公是來自外太空，打算到地球毀滅人類的外星生物「摧不毀」，進而與老公展開「相愛相殺」的生存喜劇。劇情一開始以為會是韓劇《夫妻的世界》走向，沒想到中間卻超展開，演變成《夫妻的「弒」界》，讓人莞爾不已。本片是以《我們全村都不是人》、《駭人巨獸》、《驅鬼特攻隊》等片，樹立自身「類型喜劇」風格的名導申政沅，他睽違八年的導演新片，並展現南韓影壇至今未出現過的電影類型。一如日本電影《一屍到底》這類惡搞風格，申政沅的作品，向來以獵奇、恐怖、喜劇、荒唐，甚至是惡趣味的風格聞名影壇，並廣受類型影迷愛戴。從《我們全村都不是人》與比鬼更可怕的村民對決，到《駭人巨獸》與食人野豬展開殊死搏鬥，或是《驅鬼特攻隊》解決受詛咒村莊的神祕事件等獨創故事。申政沅這回將主題對準外星生物，降臨地球打算消滅人類的故事，導演也對此掛保證：「本片既有魅力又有趣，可以確定的是，觀眾將會看到至今在南韓電影當中，前所未見的東西。」本片演員也是一時之選。有「韓流始祖」、「電音女王」之稱的李貞賢，上回在《屍速列車：感染半島》對抗活屍，這回則在本片對付自己的外星人老公，將展現滑稽的搞笑演出。金聖午（前譯金盛吳）則飾演外表完美，實際上卻是外星生物的老公「摧不毀」。此外，還有在每部作品中展開強烈形象的徐英姬，還有在綜藝節目《我的超人爸爸》當中廣受好評的影、視、歌三棲男星梁東根，以及有「全天候演員」之稱的李美到（前譯李美度）都參與演出。一方是要密謀滅亡人類，另一方則共組「救世者聯盟」守護地球，眾人將發揮幽默不已的搞笑功力，過程中也將充滿緊迫的懸疑感。劇情後半段，更將加入政府要員之間的決戰，將趣味化為最大，勢必將讓觀眾體驗到超乎想像，既搞笑、又恐怖、又讓人爆笑的奇特經歷，勢必成為台灣觀眾在萬聖節強檔的爆笑觀影首選！
82,阿比阿弟尋歌大冒險,科幻,2020-10-16,★《驚爆銀河系》《超危險特工2：狠戰》導演無厘頭爆笑新作★「動保殺神」基努李維超ㄎㄧㄤ回歸白爛經典系列★奧斯卡金獎導演史蒂芬索德柏擔綱監製★要對大家好好的，一起嗨起來！阿比（艾力克斯溫特飾）和阿弟（基努李維飾）這對邁入中年的活寶，雖然已寫過上千首歌曲，卻始終無法創作出史上最棒的歌曲。當一位來自未來的使者向他們發出警告，表示只有他們的歌曲可以拯救地球，於是兩人決定再度踏上時空旅行，在女兒和傳奇音樂人的幫助下，並向未來的自己「致敬」，寫出一首能再度讓宇宙恢復和諧的驚世之作！
83,異星物語,科幻,2020-10-08,★《怪奇物語》艾美獎最佳片頭設計得主首部執導長片★《蜘蛛人：離家日》視覺特效團隊打造全新懸疑科幻鉅作★沒有人相信的真相，是真相嗎？★外星物種眼見為真，神秘陰謀悄悄來襲…　　以撒是一位在美國太空總署工作的年輕科學家，某天，他通過一顆衛星接收到來自太空的神秘信號，並前往信號標示地點尋找外星人蹤跡；在探尋過程中，以撒竟遭外星人綁架，然而，當他僥倖逃脫並平安返回地球後，身邊沒有一個人相信他的故事。面對外界的種種質疑及嘲諷，以撒開始迷戀於尋找外星物種存在的證據，並踏上一場尋找未知的神祕旅程…
84,星際效應,科幻,2020-10-08,故事描述一群探險家運用新發現的蟲洞，計劃一場遠超越過去人類太空旅行極限，展開一場遙遠距離的星際航行。該片請來蟲洞理論大師基普索恩作為顧問。主要演員包含馬修麥康納、安海瑟威、潔西卡雀絲坦及米高肯恩。
85,遺落夢境,科幻,2020-09-30,★《T-34：戰場傳奇》億萬團隊最新力作★《神力女超人》《哥吉拉II怪獸之王》特效團隊再創視覺高峰★宛如《全面啟動》X《奇異博士》超脫現實的燒腦科幻冒險★逃離夢境，成為他們唯一生路……年輕有為的建築師維多，從一次意外事故中醒來，卻發現自己身處一個與地球極為相似的異世界中，異界中的所有景色都是由人類的記憶建構而成，也因如此，這個世界如記憶般混亂且極度不穩定，我們熟知的物理規則在這個世界並不存在。維多必須和他的愛人及夥伴找出其中的規律及破綻，同時躲避神祕異獸窮追不捨的獵殺，逃出這個超乎常理的異世界……
86,麻雀放浪記2020,科幻,2020-09-30,★改編自阿佐田哲也的小說《麻雀放浪記》和清水洋三的漫畫《麻雀放浪記2020》★2019多倫多日本影展★2019北京影展故事發生在新世界大戰後的2020年，被中止舉辦奧運的東京。因人口大幅減少，勞動人口被AI取代，導致街上充斥著無業遊民和無依無靠的老人。在這慌亂的東京，阿哲（齋藤工飾）從1945年的戰後復興時代，穿越時空來到2020年的現代。阿哲一睜開雙眼就過了75年，身處在令他驚訝的世界，面對這意想不到的狀況，阿哲將以麻將遊戲展開一場又一場的生死決鬥……
87,鋼鐵女孩：最後戰役,科幻,2020-09-18,★超人氣女優明日花綺羅再披戰袍，鋼鐵女神的最後戰役！★結合情慾、英雄動作、科幻的超人氣系列作最終章★人氣女子摔角手赤井沙希XI罩杯巨乳羅莉天木純同台熱演不久的未來，生化人已成為人類社會的一部分。人類為了保衛地球而開發了人工智慧「猶大」，卻反遭系統認定為敵人，進而引發一場人類和生化人的大戰，日本從此烽火連天、滿目瘡痍。早乙女克莉絲（明日花綺羅飾）在這場大戰中被改造成了生化人並喪失了記憶，她在不停地戰鬥的同時，試圖找回失去的記憶。另一方面，史上最強的生化戰士黛安娜正步步逼近，她不擇手段只為了向克莉絲復仇。就在此時，克莉絲在命運的指引下，邂逅了神祕少女莎拉……
88,棕櫚泉不思議,科幻,2020-08-19,★美劇《荒唐分局》安迪山伯格大銀幕再現加倍「荒唐」人生★愛到「天長地久」竟成真，陷入「時空循環」頭好疼！★昨天是今天，明天也是今天…★爛番茄影評網93％好評推薦★2020日舞影展 ★打破日舞影展授權金史上最高成交紀錄浪子奈爾斯（安迪山伯格飾）在一場婚禮上邂逅了不想當伴娘的莎拉（克莉絲汀米莉歐蒂飾），兩人原本應該展開一段浪漫戀情，不料，卻因一起意外雙雙陷入「時空輪迴」！不管發生什麼事，兩人只要閉眼再醒來，就會發現自己一再地重複回到過去的某一刻。在認清這個無法逃避的詭異命運後，他們決定放手一搏，挑戰以前從未做過的事情……
89,全面啟動10周年紀念版,科幻,2020-08-12,唐姆柯比（李奧納多狄卡皮歐飾）在片中是技高一籌的神偷，不過他偷竊的範疇極度危險，他要趁人在心智最脆弱的入睡狀態時，深入其潛意識盜取寶貴的祕密。柯比的罕見能力使他成為這一行炙手可熱的玩家，遊走在險惡的新企業諜報世界，不過他也因此付出重大代價，淪為國際逃犯，失去心愛的家人。如今，柯比終於有機會挽回，只要完成最後一票，他就能重獲原本的人生，但這根本是不可能的任務，即「植入想法」。這次柯比和他的專家團隊不是要偷竊，而是要扭轉乾坤，他們的任務不是偷取想法，而是植入想法。如果他們成功，這絕對是天衣無縫的犯罪。然而，無論他們的計劃多麼周詳、技藝多麼高超，仍遭遇到始料未及的狀況，危險的敵人似乎能預測到他們的一舉一動，但也唯有柯比才有辦法對付這個敵人。
90,殺死希特勒跟大腳怪的男人,科幻,2020-08-07,★《一個巨星的誕生》奧斯卡最佳男配角提名山姆艾略特領銜演出★老兵不死，亦未凋零。二戰退休刺客，再現傳奇性的冒險旅程★2019土星獎最佳獨立電影★2018內華達電影節最佳評審團獎★2020夏威夷影評人協會　　凱文巴爾（山姆艾略特飾）是一名刺殺希特勒並成功改變歷史的傳奇刺客。這個超強老兵在退休後再度接到了一個祕密任務－追蹤和消滅一隻患有可怕傳染病的大腳怪。而在執行這個不可能的任務的時候，巴爾在過去二戰時的片段回憶不斷湧現，糾纏於他的心頭。
91,魔鬼剋星2(1989),科幻,2020-07-31,由彼得（比爾莫瑞飾）、雷伊、溫斯頓、埃貢四個捉鬼專家組成的「魔鬼剋星」拯救了世界以後，卻慘遭法院下令禁止從事任何有關捉鬼的行動。四人得知老友丹娜（雪歌妮薇佛飾）八個月大的兒子奧斯卡身邊出現靈異事件後，「魔鬼剋星」自然義不容辭地想伸出援手。沒想到一查發現古老的邪惡巫師維果意圖藉由黛娜的兒子奧斯卡重生回到人世作惡，「魔鬼剋星」該怎麼自救，並阻止維果的陰謀得逞？
92,ID4星際終結者,科幻,2020-07-31,★本片進4K數位電影（4096x2160DCI4K）放映/只在電影院才能看到★歷史進帳逾8.174億美元，名列全球50大最賣座電影排行榜★好萊塢巨星威爾史密斯、比爾普爾曼、傑夫高布倫主演★全球囊括榮獲35項大獎，包括奧斯卡最佳視覺效果金像獎★睽違24年經典史詩鉅作重返地球！全球影迷最屏息以待的科幻災難動作電影★科幻災難大導羅蘭艾默瑞奇經典之作《ID4星際終結者》★經典重現超強卡司抵抗外星人捍衛地球杜絕危機    全世界已陷入極度的恐慌，美國總統聯合各國領袖共商解決之道，科學家和空軍為人類的命運奮鬥，武裝部隊已經動員，捍衛地球！當武力強大的外星人，發動全面入侵地球，造成世界主要城市毀滅殆盡，而人類的唯一希望就是團結合作…。如果有一天，你一覺醒來，發現外星人占領了地球，你該怎麼辦？在地球稱霸上千來的人類，如果遇上比自已更強壯的生物，又該如何應付？被二十世紀福斯公司視為年度大戲的《ID4星際終結者》，在本片丟給我們這樣的難題。人類雖不斷地探索宇宙，尋找其他可能的生命體，然而人類對宇宙的所知仍有限。許多電影將來訪的外星人描述為可愛、善良及充滿智慧的生物，如：《ET》。但如果有一天，來拜訪地球的外星人是殘暴的、武力強大的，並將地球人視為必須毀滅的低等生物時，人類的文明是否就此重寫？本片除了運用電腦特效製造驚人的視覺奇觀，締造出影史上最大範圍的轟炸記錄，以向票房記錄挑戰外，在演員上也都是一時之選。而備受注目的威爾史密斯，在本片挑大樑飾演為全體人類而戰的史蒂芬希爾上校。為了更稱職的演出，威爾史密斯還特地向一位中尉學習如何操縱F-18戰鬥機。高大俊挺的他，原是饒舌合唱團的高手，曾於1988年獲葛萊美音樂獎。外型出色的他後來跨足演戲，包括NBA的電視影集、與虎碧戈柏合作的精子也瘋狂。威爾史密斯主演賣座的《ID4星際終結者》後在星壇上光芒更加閃耀，成為人人皆知的超級巨星!另一位主角，也是行情看俏的小生：比爾普曼，研讀戲劇與表演藝術的他在《二見鍾情》和《鬼馬小精靈》賣座後，逐漸邁向一線演員。形象溫文端正的比爾普曼飾演這位面臨空前挑戰的美國總統，應該有很大的發揮空間。在《變蠅人》《侏儸紀公園》都是飾演科學家的傑夫高布倫，在本片中同樣也是飾演科學家，與威爾史密斯並肩作戰對抗外星人入侵者!《ID4星際終結者》重新定義災難電影類型後，成為科幻片影史上的經典，影片中呈現超乎想像的磅礡規模，透過尋獲的外星人科技，地球的所有國家同心協力打造一項保衛地球的巨大防衛計劃，主角們努力拯救世界免於瀕臨絕跡。來自導演羅蘭艾默瑞克，《ID4星際重生》回到他與聯合編劇暨製片狄恩戴夫林於20年前創造的時空中，他們捕捉到電影中的魔力，以劇情、動作、幽默、難忘的角色及直至今日仍廣為引用的總統演說震撼全球觀眾。總而言之，該片改變了電影產業，成為大眾文化的話題，並提醒我們去看電影的初衷。你是否曾在空中發現閃閃發亮的碟子？不管你相信或不相信有外星人這回事，本片的視覺奇觀、對外星人的假設、對人類面臨危機的處理，絕對值得你將本片列為必看的電影!影史上的「經典科幻動作片」，就絕對不會有人遺忘1996年威爾史密斯主演的《ID4星際終結者》（IndependenceDay），這部片在當年不但創下全球八億美金的票房佳績，更成為年度最賣座電影。《ID4星際終結者》讓影迷們睽違24年再度回味這部超級經典的科幻動作大片！大家準備好要和威爾史密斯一起轟炸外星人保衛地球了嗎？
93,星之彩,科幻,2020-07-24,★《曼蒂》製片團隊驚異新作★《魔戒三部曲》伊利亞伍德超狂監製★《霹靂戰士龍》骨灰級邪典大導理查史丹利睽違影壇23年回歸之作★改編自克蘇魯宗師H.P.洛夫克拉夫特短篇故事★奧斯卡影帝尼可拉斯凱吉再創「凱吉瘋」新高度★2019H.P.洛夫克拉夫特電影節最佳影片、觀眾票選獎★2019多倫多國際影展「午夜瘋狂」單元★2019德州奧斯汀奇幻影展★2019倫敦影展★2019西班牙錫切斯奇幻影展最佳影片提名一顆閃爍著奇異光彩的隕石墜落在賈納家位於新英格蘭偏遠郊區的農場，隕石周遭的土地開始染上了一種奇異的色彩，這是地球上從未見過的顏色，不存在於已知光譜的任一端。無以名狀的邪惡力量開始慢慢地改變週遭的一切，飲水出現奇異的油亮光彩、農作物異常生長、牲畜開始在夜裡發光，超乎常理的異變也讓時間失去了秩序，最終開始影響到賈納一家人……。
94,魔鬼剋星(1984),科幻,2020-07-10,劇情描述彼得（比爾莫瑞飾）、雷伊、埃貢是研究超能現象的大學教授，因紐約市出現許多靈異現象，三人決定招募新成員成立用科技抓鬼服務的公司「魔鬼剋星」。女提琴手丹娜（雪歌妮薇佛飾）發現家裡冰箱出現靈異事件後，也決定請來「魔鬼剋星」幫忙解決。因為政府單位干涉「魔鬼剋星」的抓鬼行動，意外導致鬼魂佔據紐約街區，而丹娜所住的大樓也因匯集大量陰氣導致古蘇美人的邪神復活，讓丹娜與鄰居慘被邪神左右護法附身。眼看紐約市淪陷於鬼怪手中，這四位「魔鬼剋星」該如何收服邪神、解救丹娜和無辜市民？
95,未來之書,奇幻,2021-08-13,女醫生放棄了人人稱羨的前程，來到大學鑽研醫學史。她發現一名十八世紀醫生的手稿，除了記載病人的身體狀況，也描繪他們的心理和夢境，讓她深深著迷。纏繞於字裡行間的情緒與記憶，彷彿引領她回到那個年代：懷孕的軍官夫人只能壓抑自己真實的愛，流產的女傭深信死去的孩子被森林的樹木看照著；而她彷彿能穿越時間的限制與這些靈魂交會，找到生命的出口。【關於電影】《永生樹》製片兼副導演卡洛辛特曼處女作泰倫斯馬力克義氣相挺充滿理性與感性之作 融合科學與感情面並添加時空轉換元素曾任《永生樹》的製片與副導演的卡洛辛特曼，跟美國名導泰倫斯馬力克成為莫逆之交，相差31歲的兩人情同父子，因此當卡洛辛特曼首次擔綱劇情長片的導演時，泰倫斯馬力克義無反顧地擔下監製這個重責大任。卡洛辛特曼也對於泰倫斯能夠成為他新片《未來之書》的監製感激莫名，泰倫斯甚至還將他的團隊一起交給卡洛辛特曼來掌舵，包括攝影大師裘葛溫德默(JoergWidmer)和場景設計大衛柯瑞克(DavidCrank)！這些元素都讓《未來之書》交出了相當不俗的成績單，也受到許多影癡的期待。導演卡洛辛特曼在《未來之書》中融合科學與情感，添入時空跳躍元素，藉由一本古籍串接起過去和現代，宛如一面鏡子的兩端；演員們在兩個時空分飾不同角色，對比映照出今昔觀點，儘管過往命運已無法挽回，但能否改變現在的抉擇？加上泰倫斯馬力克擔綱監製，承襲其絕美的影像風格，交織出一段穿越時空、透視心靈，唯美又動人的奇幻旅程。老戲骨查爾斯丹斯與洛特弗貝克漂亮鬥戲 同時演出橫跨世紀角色查爾斯丹斯為了劇本搭允演出 洛特弗貝克忙著鑽研劇情中的哲學一向側重紀錄片導演的卡洛辛特曼，演員對他的劇情長片《未來之書》來說更形重要，他說：「《冰與火之歌：權力遊戲》的查爾斯丹斯就是我想要的第一人選！」由於原訂開拍時間正好他在拍攝《哥吉拉II：怪獸之王》，卡洛特別等他竣工之後才正式開拍《未來之書》，他說：「查爾斯就是舞台上的傳奇人物，曾在英國皇家莎士比亞劇團有多年的演出經驗，絕對是這個角色的不二人選。」在女主角方面，因為演出《只做陌生人》NothingPersonal而獲得盧卡諾影展最佳女主角獎的洛特佛貝克，則深深吸引了卡洛辛特曼，相信她的古典美一定能演出這位同時橫跨了三個世紀的角色。查爾斯丹斯覺得電影最重要的就是劇本：「這個劇本充滿了奇幻元素，加上戲劇性情節轉折，更何況泰倫斯馬力克也跟我很熟，如果沒有接演這部電影我就是傻了！」洛特佛貝克覺得自己有幸演出《未來之書》，在正式開拍前還進行了四週的排練，他們針對劇本做了深度的討論，這是在一般電影製作中相當少見的，洛特說：「我們都成為劇本的哲學家，忙著研究劇本中許多哲理，真的是非常有趣的一次演戲經驗。」視覺特效x攝影x場景設計三位一體 魔幻視效令人瞠目結舌在《未來之書》中除了劇情上的橫跨不同世紀在場景佈置、服裝設計上，這些都讓這部電影影像上相當考究之外，還有一個在影片中被女巫魔化的大樹，也是相當吃重的一個場景，他們聘請到的繪圖大師羅倫佐賽庫提(LorenzoCeccotti)，與掌鏡的攝影裘葛溫德默(JoergWidmer)和場景設計大衛柯瑞克(DavidCrank)，三位一體的緊密合作，創造出充滿奇幻色彩的影像風格。而服裝設計則在戲服的細節與自然元素作許多相互影響的搭配，更令視覺特效增加戲劇張力。
96,破碎的瞬間,奇幻,2021-07-30,★2021金馬奇幻影展口碑好評沸騰★2020華沙影展★2020塔林黑夜影展★改編日本人氣作家竹宮悠由子的同名小說，揭開青春的悸動與迷惘★日本鬼才導演SABU聯手中川大志、石井杏奈、堤真一等人氣演員，再度突破自我風格打造奇幻青春神作，峰迴路轉的劇情走向令人拍案叫絕、口碑好評不斷成為「英雄」的他，該如何拯救相信「外星人」的她？夢想成為「英雄」的高三男孩，在朝會上看不慣學妹被霸凌而出手相助，保護她似乎成了使命。然而學妹卻表示自己會有這樣的處境，都是「幽浮」在作祟。日本電影不乏大戰幽浮的超人，但現實裡的英雄要怎麼找出外星人？而且應該沒有人比這號學妹更怪吧！隨著他們越走越近，他發現學妹身上總會出現莫名傷痕，而她的家人似乎也有不足為外人道的一面。改編自竹宮悠由子的同名小說，鬼才導演SABU聯手新生代明星中川大志、石井杏奈，以及實力派演員堤真一、原田知世，完成這部峰迴路轉，充滿感官娛樂，卻又具備強大藝術感染力的作品。融合校園霸凌、青春純愛、超級英雄、奇幻驚悚等多種類型，前所未見。導演也自信這會是一部「長存在你記憶裡」的電影。
97,相信黎明的到來,奇幻,2021-05-14,★榮獲8國電影節41座獎項肯定！ ★2020雨舞電影節，特別上映作品 ★榮獲2020馬德里國際電影節，長篇外語電影部門「最優秀作品獎」 ★榮獲米蘭國際電影節，長篇外語電影部門「最優秀導演獎」 ★見證一段不朽的傳奇！從平凡到非凡，一個男人蛻變的心路歷程1991年7月15日的東京巨蛋，這一天，名為一條悟的宗教家將在此舉行首場大型講演會。在日本媒體盛大播報之下，關注的人不僅僅是正在現場進行轉播報導的主播立花美穗、電視機前收看轉播的法官水瀨千晶，還有一條悟在故鄉的母親、學生時代的朋友們。此外，一條悟在商社時代的同事與上司們，大家都不斷回想著自己與悟相識的過程……。一條悟出生於日本四國的小鎮，進入全國首屈一指的學府就讀，畢業後進入國際企業工作。年紀輕輕就踏上接班未來社長位子的菁英之路的他，卻毅然決然地遞出辭呈，從親友身邊銷聲匿跡。為何他要捨棄原本被眾人看好的未來，選擇成為一位宗教家呢？為什麼他要對所愛的人們保持沉默，決定一人獨自踏上這條道路？──現在，大型講演會的序幕，即將揭開
98,盜夢偵探,奇幻,2021-03-26,★日本第12屆神戶動畫獎最佳劇場映畫作品★日本第6屆東京動畫獎優秀作品賞★比利時第26屆布魯塞爾動畫影展最佳成人動畫長片★入圍第63屆威尼斯國際電影節最佳電影、安錫國際動畫影展最佳動畫長片、第11屆在線影評人協會獎最佳動畫電影★耗時兩年半，今敏導演逝世前最終之作★人物刻劃細膩，現實與夢境精彩交疊的科幻電影！★《舊金山紀事報》將本片譽為「最具洞察力且最有意思的潛意識題材電影」★知名電影《全面啟動》的啟發作品！《盜夢偵探》是日本動畫導演今敏執導的第四部動畫電影，是根據1993年日本作家筒井康隆的同名小說改編，描述精神治療、超現實與夢境之間錯綜複雜的關連。夢境機器「DCmini」是一台能夠進入人的夢境中進行精神治療的機器，在夢境中尋找造成心理疾病的根源，並予以根治。一場偷竊事故，三台「DCmini」遭竊，隨著機器落入未知的壞人手中，幾位研究員相繼發瘋，陷入集體夢境中不可自拔，精神治療醫師「千葉敦子博士」決定以夢偵探「小辣椒」的身分起手調查，一場在夢境與現實之間的追逐戰也隨之展開…
99,金窩駭浪,奇幻,2021-03-12,★《迷懵夢寐》日舞影展最佳導演驚悚新作★住進古老大宅，竟讓家庭關係分崩離析…★「裘德洛演藝生涯最佳演出」—英國衛報★國際知名爛番茄影評網88％正面好評★2020日舞影展正式入選★2020杜維爾美國影展評審團大獎、影評人獎、啟示獎★2020芝加哥影評人協會獎最佳女主角提名★2021高譚獨立電影獎最佳男主角、最佳女主角提名★浮華世界雜誌年度十大佳片★多倫多國際影展年度十大加拿大電影　　野心勃勃的企業家羅里為了事業前途，放棄了寧靜的美國郊區生活，帶著妻子與孩子返回家鄉英國。一家人住進一座80年代的古老英式莊園裡，然而，這棟神秘的獨立樓房竟對羅里的家庭造成巨大威脅，家人之間的隔閡日益加深，即使羅里的事業蒸蒸日上，但是家庭關係卻開始分崩離析，而羅里與妻子之間的婚姻問題也隨著住進這棟老宅而逐步浮上檯面…
